07/30/17-02:03:49.359717 ,,"(portscan) UDP Filtered Portscan",8.8.8.8,,172.16.0.11,
07/30/17-03:11:57.424808 ,TCP,"HoneyPot FTP Port 21 Hit",122.168.224.1,63048,172.16.0.4,21
07/30/17-03:11:57.780962 ,TCP,"HoneyPot FTP Port 21 Hit",122.168.224.1,63048,172.16.0.4,21
07/30/17-03:11:58.771543 ,TCP,"HoneyPot FTP Port 21 Hit",122.168.224.1,63048,172.16.0.4,21
07/30/17-03:11:59.784225 ,TCP,"HoneyPot FTP Port 21 Hit",122.168.224.1,63048,172.16.0.4,21
07/30/17-03:12:00.773096 ,TCP,"HoneyPot FTP Port 21 Hit",122.168.224.1,63048,172.16.0.4,21
07/30/17-03:12:45.955014 ,TCP,"HoneyPot SMB Port 445 Hit",58.147.170.124,55454,172.16.0.4,445
07/30/17-03:12:46.224355 ,TCP,"HoneyPot SMB Port 445 Hit",58.147.170.124,55454,172.16.0.4,445
07/30/17-03:12:46.225282 ,TCP,"HoneyPot SMB Port 445 Hit",58.147.170.124,55454,172.16.0.4,445
07/30/17-03:12:46.499674 ,TCP,"HoneyPot SMB Port 445 Hit",58.147.170.124,55454,172.16.0.4,445
07/30/17-03:15:57.834704 ,TCP,"HoneyPot SMB Port 445 Hit",58.147.170.124,13473,172.16.0.4,445
07/30/17-03:15:58.101715 ,TCP,"HoneyPot SMB Port 445 Hit",58.147.170.124,11061,172.16.0.4,445
07/30/17-03:15:58.114926 ,TCP,"HoneyPot SMB Port 445 Hit",58.147.170.124,13473,172.16.0.4,445
07/30/17-03:15:58.115919 ,TCP,"HoneyPot SMB Port 445 Hit",58.147.170.124,13473,172.16.0.4,445
07/30/17-03:15:58.370422 ,TCP,"HoneyPot SMB Port 445 Hit",58.147.170.124,11061,172.16.0.4,445
07/30/17-03:15:58.371368 ,TCP,"HoneyPot SMB Port 445 Hit",58.147.170.124,11061,172.16.0.4,445
07/30/17-03:15:58.398896 ,TCP,"HoneyPot SMB Port 445 Hit",58.147.170.124,13473,172.16.0.4,445
07/30/17-03:15:58.642887 ,TCP,"HoneyPot SMB Port 445 Hit",58.147.170.124,11061,172.16.0.4,445
07/30/17-03:15:58.913424 ,TCP,"HoneyPot SMB Port 445 Hit",58.147.170.124,11061,172.16.0.4,445
07/30/17-03:15:59.183116 ,TCP,"HoneyPot SMB Port 445 Hit",58.147.170.124,11061,172.16.0.4,445
07/30/17-03:15:59.453289 ,TCP,"HoneyPot SMB Port 445 Hit",58.147.170.124,11061,172.16.0.4,445
07/30/17-03:15:59.723623 ,TCP,"HoneyPot SMB Port 445 Hit",58.147.170.124,11061,172.16.0.4,445
07/30/17-03:16:02.483014 ,TCP,"HoneyPot SMB Port 445 Hit",58.147.170.124,14169,172.16.0.4,445
07/30/17-03:16:02.772812 ,TCP,"HoneyPot SMB Port 445 Hit",58.147.170.124,14169,172.16.0.4,445
07/30/17-03:16:02.773813 ,TCP,"HoneyPot SMB Port 445 Hit",58.147.170.124,14169,172.16.0.4,445
07/30/17-03:16:03.067362 ,TCP,"HoneyPot SMB Port 445 Hit",58.147.170.124,14169,172.16.0.4,445
07/30/17-03:16:03.358265 ,TCP,"HoneyPot SMB Port 445 Hit",58.147.170.124,14169,172.16.0.4,445
07/30/17-03:16:03.648859 ,TCP,"HoneyPot SMB Port 445 Hit",58.147.170.124,14169,172.16.0.4,445
07/30/17-03:16:03.939657 ,TCP,"HoneyPot SMB Port 445 Hit",58.147.170.124,14169,172.16.0.4,445
07/30/17-03:16:04.230690 ,TCP,"HoneyPot SMB Port 445 Hit",58.147.170.124,14169,172.16.0.4,445
07/30/17-03:17:35.986389 ,TCP,"HoneyPot Telnet Port 23 Hit",71.6.142.85,41459,172.16.0.4,23
